date,ot_book,ot_chapter,nt_book,nt_chapter,psalm_book,psalm_chapter
2025-04-13,,,,,Psalm,15
2025-04-14,Joshua,20,,,,
2025-04-14,Joshua,21,,,,
2025-04-14,,,Acts,15,,
2025-04-14,,,,,Psalm,15
2025-04-15,Joshua,22,,,,
2025-04-15,Joshua,23,,,,
2025-04-15,,,Acts,16,,
2025-04-15,,,,,Psalm,116
2025-04-16,Joshua,24,,,,
2025-04-16,Judges,1,,,,
2025-04-16,,,Acts,17,,
2025-04-16,,,,,Psalm,116
2025-04-17,Judges,2,,,,
2025-04-17,Judges,3,,,,
2025-04-17,,,Acts,18,,
2025-04-17,,,,,Psalm,16
2025-04-18,Judges,4,,,,
2025-04-18,Judges,5,,,,
2025-04-18,,,Acts,19,,
2025-04-19,Judges,6,,,,
2025-04-19,Judges,7,,,,
2025-04-19,,,Acts,20,,
2025-04-20,Judges,8,,,,
2025-04-20,Judges,9,,,,
2025-04-20,,,Acts,21,,
2025-04-20,,,,,Psalm,17
2025-04-21,Judges,10,,,,
2025-04-21,Judges,11,,,,
2025-04-21,,,Acts,22,,
2025-04-21,,,,,Psalm,17
2025-04-22,Judges,12,,,,
2025-04-22,Judges,13,,,,
2025-04-22,,,Acts,23,,
2025-04-22,,,,,Psalm,146
2025-04-23,Judges,14,,,,
2025-04-23,Judges,15,,,,
2025-04-23,,,Acts,24,,
2025-04-23,,,,,Psalm,146
2025-04-24,Judges,16,,,,
2025-04-24,Judges,17,,,,
2025-04-24,,,Acts,25,,
2025-04-24,,,,,Psalm,146
2025-04-25,Judges,18,,,,
2025-04-25,Judges,19,,,,
2025-04-25,,,Acts,26,,
2025-04-25,,,,,Psalm,21
2025-04-26,Judges,20,,,,
2025-04-26,Judges,21,,,,
2025-04-26,,,Acts,27,,
2025-04-27,Ruth,1,,,,
2025-04-27,Ruth,2,,,,
2025-04-27,,,Acts,28,,
2025-04-28,Ruth,3,,,,
2025-04-28,Ruth,4,,,,
2025-04-28,,,Romans,1,,
2025-04-28,,,,,Psalm,37
2025-04-29,1 Samuel,1,,,,
2025-04-29,1 Samuel,2,,,,
2025-04-29,,,Romans,2,,
2025-04-29,,,,,Psalm,120
2025-04-30,1 Samuel,3,,,,
2025-04-30,1 Samuel,4,,,,
2025-04-30,,,Romans,3,,
2025-04-30,,,,,Psalm,23
2025-05-01,1 Samuel,5,,,,
2025-05-01,1 Samuel,6,,,,
2025-05-01,,,Romans,4,,
2025-05-01,,,,,Psalm,23
2025-05-02,1 Samuel,7,,,,
2025-05-02,1 Samuel,8,,,,
2025-05-02,,,Romans,5,,
2025-05-03,1 Samuel,9,,,,
2025-05-03,1 Samuel,10,,,,
2025-05-03,,,Romans,6,,
2025-05-04,1 Samuel,11,,,,
2025-05-04,1 Samuel,12,,,,
2025-05-04,,,Romans,7,,
2025-05-04,,,,,Psalm,38
2025-05-05,1 Samuel,13,,,,
2025-05-05,1 Samuel,14,,,,
2025-05-05,,,Romans,8,,
2025-05-05,,,,,Psalm,38
2025-05-06,1 Samuel,15,,,,
2025-05-06,1 Samuel,16,,,,
2025-05-06,,,Romans,9,,
2025-05-06,,,,,Psalm,39
2025-05-07,1 Samuel,17,,,,
2025-05-07,1 Samuel,18,,,,
2025-05-07,,,Romans,10,,
2025-05-07,,,,,Psalm,59
2025-05-08,1 Samuel,19,,,,
2025-05-08,1 Samuel,20,,,,
2025-05-08,,,Romans,11,,
2025-05-08,,,,,Psalm,59
2025-05-08,,,,,"56, 57,",142
2025-05-09,1 Samuel,21,,,,
2025-05-09,1 Samuel,22,,,,
2025-05-09,,,Romans,12,,
2025-05-09,,,,,Psalm,52
2025-05-10,1 Samuel,23,,,,
2025-05-10,1 Samuel,24,,,,
2025-05-10,,,Romans,13,,
2025-05-10,,,,,Psalm,54
2025-05-11,1 Samuel,25,,,,
2025-05-11,1 Samuel,26,,,,
2025-05-11,,,Romans,14,,
2025-05-12,1 Samuel,27,,,,
2025-05-12,1 Samuel,28,,,,
2025-05-12,,,Romans,15,,
2025-05-13,1 Samuel,29,,,,
2025-05-13,1 Samuel,30,,,,
2025-05-13,,,Romans,16,,
2025-05-14,1 Samuel,31,,,,
2025-05-14,2 Samuel,1,,,,
2025-05-14,,,1 Corinthians,1,,
2025-05-14,,,,,Psalm,96
2025-05-15,2 Samuel,2,,,,
2025-05-15,2 Samuel,3,,,,
2025-05-15,,,1 Corinthians,2,,
2025-05-15,,,,,Psalm,96
2025-05-16,2 Samuel,4,,,,
2025-05-16,2 Samuel,5,,,,
2025-05-16,,,1 Corinthians,3,,
2025-05-16,,,,,Psalm,122
2025-05-17,2 Samuel,6,,,,
2025-05-17,2 Samuel,7,,,,
